name,type,latitude,longitude,elevation_m,significance,phase,date_key,notes
Louvemont,destroyed_village,49.2264,5.4453,355,Village north of Douaumont,Phase I-V,Feb-Nov,Destroyed Feb; partially recaptured Nov
Bezonvaux,destroyed_village,49.2078,5.4594,340,Eastern village near Vaux,Phase II-V,Jun-Nov,German occupation Jun; recaptured Nov 11-12
Vaux-devant-Damloup,destroyed_village,49.1953,5.4547,365,Village east of Fort Vaux,Phase II-V,Jun-Nov,Captured by French Nov 3 after Vaux recapture
Haumont,destroyed_village,49.2356,5.4208,338,Northern village - completely obliterated,Phase I,Feb 22,"First village destroyed; ""disappeared from the map"""
Cumières,destroyed_village,49.2297,5.3653,240,Left Bank village - destroyed,Phase I-II,Mar,Destroyed during Left Bank fighting
Chattancourt,destroyed_village,49.2361,5.3472,250,Left Bank village near Mort-Homme,Phase I-II,Mar-May,German occupation; destroyed
Bois des Caures,woods,49.2322,5.4106,320,Forest - site of initial German assault,Phase I,Feb 21,Col. Driant's defense; first day of battle
Bois de la Caillette,woods,49.1947,5.4314,355,Woods south of Douaumont,Phase II,Apr-Jun,Scene of intense fighting
Bois d'Haumont,woods,woods,49.2331,5.4250,335,Forest north of battlefield,Phase I,Feb 22-23,Early German capture
Bois de Fosses,woods,49.2264,5.3950,310,Woods on Left Bank,Phase I-II,Mar,Contested during Left Bank operations
Bois de Cumières,woods,49.2347,5.3711,265,Left Bank forest,Phase I-II,Mar,Near Cumières village
Herbebois,woods,49.2425,5.4331,315,Northern woods,Phase I,Feb,German assembly area
Hardaumont Wood,woods,49.2011,5.4442,375,Woods north of Fort Vaux,Phase V,Nov,Partially captured Nov 4-5
Meuse River,river,49.1600,5.3900,190,Major river west of Verdun,all,all phases,Natural barrier; crossed by bridges at Verdun
Ravin de la Dame,ravine,49.2003,5.4264,350,Ravine between Douaumont and Vaux,multiple,all phases,Supply and communication route
Ravin de la Couleuvre,ravine,49.1981,5.4333,355,Ravine south of Thiaumont,multiple,all phases,Shelter from artillery
Ravin des Vignes,ravine,49.2044,5.4186,360,Ravine west of Douaumont,multiple,all phases,French supply route
Tunnel de Tavannes,tunnel,49.1856,5.4256,340,Underground tunnel system at Fort Tavannes,multiple,all phases,Housed thousands of soldiers; site of May 4 explosion (500+ killed)
Voie Sacrée (Sacred Way),road,49.1594,5.3864,200-250,Supply road from Bar-le-Duc to Verdun (75km),all,all phases,"Lifeline of Verdun; 3,000 trucks/day; one vehicle every 14 seconds"
Bar-le-Duc,city,48.7700,5.1600,188,Southern terminus of Voie Sacrée,all,all phases,Main supply hub for Verdun operations
R1 Trench,trench,49.2092,5.4289,380,Main French trench line near Douaumont,multiple,Feb-Oct,Key defensive position
R2 Trench,trench,49.2078,5.4306,375,Secondary trench line,multiple,Feb-Oct,Fallback position
German Front Line (Feb 21),line,49.2400,5.4200,variable,German starting line Feb 21 1916,Phase I,Feb 21,Jumped off at 07:15 after 9-hour bombardment
German High-Water Mark (Jun 23),point,49.1908,5.4222,380,Furthest German advance - Fort Souville,Phase II,Jun 23,After this date French counteroffensives begin reversing gains
French Front Line (Dec 18),line,49.2350,5.4250,variable,French line at battle end Dec 18 1916,Phase V,Dec 18,Restored to near Feb 21 positions; Germans lost nearly all gains
Observation Post - Mort-Homme,observation,49.2389,5.3331,295,German artillery observation position,Phase II,Mar-May,After capture commanded view of Verdun
Observation Post - Douaumont,observation,49.2106,5.4272,388,Fort's observation cupola - critical sightline,multiple,Feb-Oct,360-degree view of battlefield
Battery Position - Bois d'Haumont,artillery,49.2331,5.4250,335,German heavy artillery positions,Phase I,Feb,Housed 420mm mortars (Big Bertha type)
Battery Position - Azannes,artillery,49.2758,5.4594,280,German long-range artillery,all,all phases,Fired on Verdun city and rear areas
French Artillery - Left Bank,artillery,49.2100,5.3500,250-300,French counter-battery positions,all,all phases,Protected Verdun's western approaches
PC 119 (Command Post),command,49.2014,5.4139,365,French forward command post,multiple,all phases,Underground bunker system
Souville Command Post,command,49.1908,5.4222,375,Command bunker at Fort Souville,multiple,Jun-Dec,Critical communications hub
Battlefield Center,reference,49.2050,5.4300,365,Approximate geographic center of combat zone,all,all phases,Roughly equidistant from Douaumont/Vaux/Fleury
Right Bank Zone,zone,49.2000,5.4400,variable,Eastern battlefield (primary combat area),all,all phases,35 km² combat zone; majority of casualties
Left Bank Zone,zone,49.2350,5.3400,variable,Western battlefield (Mort-Homme/Hill 304),Phase I-II,Feb-May,25 km² combat zone; fierce fighting Mar-May
No-Man's-Land (typical),zone,variable,variable,variable,Area between opposing trenches,all,all phases,Width: 50-500 meters depending on sector; instant death zone
Zone Rouge (Red Zone),zone,49.2150,5.4350,variable,Post-war exclusion zone - too dangerous for habitation,post-war,all phases,"100+ km² still restricted today; unexploded ordnance, soil contamination"
Faubourg Pavé,suburb,49.1636,5.3886,205,Verdun suburb - shelled constantly,all,all phases,Residential area evacuated; artillery target
Citadel of Verdun,fortification,49.1603,5.3847,210,Underground fortress beneath Verdun city,all,all phases,Housed 1000s of troops; command center; hospital
Bras-sur-Meuse,village,49.1822,5.4017,230,Supply village south of battlefield,all,all phases,Logistics hub; hospital facilities
Nixéville,village,49.1450,5.3992,215,Southern village - field hospital location,all,all phases,Casualty clearing station
Eix,village,49.2686,5.4808,295,Northern village - German rear area,all,all phases,German logistics and rest area
Damvillers,village,49.3342,5.4036,260,Northern German position,all,all phases,German field hospitals and reserves
Spincourt,village,49.3014,5.5642,250,Northeast German logistics hub,all,all phases,Rail terminus for German supplies
Stenay,town,49.4917,5.1889,165,German rear headquarters,all,all phases,Crown Prince Wilhelm's headquarters
Dugny,village,49.1731,5.3644,225,Western village - French logistics,all,all phases,Supply depot for Left Bank operations
Charny,village,49.1950,5.3622,235,Left Bank rear area,all,all phases,Medical facilities and rest billets
Baleycourt,village,49.1797,5.3381,245,Western logistics village,all,all phases,Supply staging area
